item_link,item_name,item_category
CLOUD VAPE STRAWMELON 60ML,https://vapology.com.ng/product/cloud-vape-strawmelon-60ml/,Vape Liquid
"ICE MANGO E LIQUID, 60ML",https://vapology.com.ng/product/ice-mango-e-liquid-60ml/,Vape Liquid
"Tropic Thunder, 120ml",https://vapology.com.ng/product/tropic-thunder-120ml/,Vape Liquid
Menthol Vape Juice By Gentle Man 60ml.,https://vapology.com.ng/product/menthol-vape-juice-by-gentle-man-60ml/,Vape Liquid
"Cuban Cigar Premium E Liquid, 60ml.",https://vapology.com.ng/product/cuban-cigar-premium-e-liquid-60ml/,Vape Liquid
Sweet Pineapple Flavored E Juice 60ml,https://vapology.com.ng/product/sweet-pineapple-flavored-e-juice/,Vape Liquid
Max Mint E Juice 60ml.,https://vapology.com.ng/product/max-mint-e-juice-60ml/,Vape Liquid
Strawberry Icy E Juice By Gentle Man Juice,https://vapology.com.ng/product/strawberry-icy-e-juice-by-gentleman-juice/,Vape Liquid
"BANG VAPE DISPOSABLES, LEMON ICE-2000PUFFS",https://vapology.com.ng/product/bang-vape-disposables-lemon-ice-2000puffs/,Disposables
"BANG VAPE DISPOSABLES, PINEAPPLE MANGO ICE-2000PUFFS",https://vapology.com.ng/product/bang-vape-disposables-pineapple-mango-ice-2000puffs/,Disposables
STRAWBERRY WATERMELON DISPOSABLE VAPE-2000PUFFS,https://vapology.com.ng/product/strawberry-watermelon-disposable-vape-2000puffs/,Disposables
"Vandy Vape Jackaroo Pod Replacement VVC Coil, 4pcs/Pack.",https://vapology.com.ng/product/vandy-vape-jackaroo-pod-replacement-vvc-coil-4pcs-pack/,Vape Accessories
"Vandy Vape Jackaroo Mini Kit, 128W",https://vapology.com.ng/product/vandy-vape-jackaroo-mini-kit-128w/,"Electronic Cigarettes, Vandy Vape, Vape Kits"
TROPIC MANGO CHILL 120ML CORE BY DINNER LADY,https://vapology.com.ng/product/tropic-mango-chill-120ml-core-by-dinner-lady/,Vape Liquid
STRAWBERRY APPLE BY DINNER LADY 120ML,https://vapology.com.ng/product/strawberry-apple-by-dinner-lady/,Vape Liquid
VapeOnly Vigo Starter Kit 900mah,https://vapology.com.ng/product/vapeonly-vigo-starter-kit-900mah/,"Electronic Cigarettes, Vape Kits"
Vandy Vape Jackaroo Pod Kit 2000MAH,https://vapology.com.ng/product/vandy-vape-jackaroo-pod-kit-2000mah/,"Electronic Cigarettes, Vape Kits"
VapeOnly Aura Aio Starter Kit,https://vapology.com.ng/product/vapeonly-aura-aio-starter-kit/,"Electronic Cigarettes, Vape Kits"
Green Fire Origin 2 Dry Herb Vaporizer 2200mah,https://vapology.com.ng/product/green-fire-origin2-dry-herb-vaporizer-2200mah/,"Dry Herb Vaporizer, Vape Kits"
Geekvape Zeus Sub Ohm Tank 5ml,https://vapology.com.ng/product/geekvape-zeus-sub-ohm-tank-5ml/,Tanks/Atormizers
"XTAR 18650 Rechargeable Battery, 2600mah",https://vapology.com.ng/product/xtar-18650-rechargeable-battery-2600mah/,Vape Accessories
